,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude
10,450 Hayes St Unit 2F,San Francisco,CA,94102.0,999000.0,730.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095017977_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.776913,-122.4239543
15,601 Van Ness Ave Apt 629,San Francisco,CA,94102.0,650000.0,706.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077721_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7817846,-122.4208606
16,601 Van Ness Ave Apt 242,San Francisco,CA,94102.0,599000.0,682.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077766_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7817846,-122.4208606
17,368 Elm St Apt 202,San Francisco,CA,94102.0,675000.0,679.0,1.0,1.0,257.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/79842266_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7812639,-122.423206
18,8 Buchanan St Unit 806,San Francisco,CA,94102.0,999000.0,884.0,1.0,1.0,89.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095573100_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7699869,-122.4264516
19,338 Potrero Ave # QM6VMC,San Francisco,CA,94103.0,772000.0,673.0,1.0,1.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096566274_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7652366,-122.4075214
20,1160 Mission St Unit 1113,San Francisco,CA,94103.0,1125000.0,1131.0,2.0,2.0,61.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785892_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7783901,-122.412238
21,1160 Mission St Unit 2213,San Francisco,CA,94103.0,2495000.0,1630.0,3.0,2.0,36.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785941_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7783901,-122.412238
22,1221 Harrison St Apt 5,San Francisco,CA,94103.0,1249000.0,1669.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/64971629_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7731279,-122.4087672
23,338 Potrero Ave # PSJ7L2,San Francisco,CA,94103.0,1107000.0,845.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2095614591_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7652366,-122.4075214
24,475 Tehama St Ste 101,San Francisco,CA,94103.0,589000.0,577.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/64971542_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7796744,-122.4059342
25,55 Norfolk St Apt 201,San Francisco,CA,94103.0,799000.0,939.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/80748535_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7710051,-122.4135941
26,1367 Natoma St,San Francisco,CA,94103.0,1598000.0,2555.0,0.0,,5.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2099576729_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7673208,-122.418263
27,6 Mint Plz # 7UVRVS,San Francisco,CA,94103.0,4795000.0,3390.0,3.0,4.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096314152_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7829198,-122.4078691
28,57 Woodward St # A,San Francisco,CA,94103.0,749000.0,892.0,2.0,1.0,17.0,For Sale by Owner,"http://www.zillow.com/homes/for_sale/2094720974_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7690337,-122.4207489
