,Unnamed: 0,Unnamed: 0.1,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude,photo_url,neighborhood
579,580,780,2820 Scott St,San Francisco,CA,94123.0,29500000.0,14360.0,7.0,11.0,408.0,House For Sale,"http://www.zillow.com/homes/for_sale/2143821426_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.795901,-122.439948,https://photos.zillowstatic.com/p_h/ISyrj1nramyqto0000000000.jpg,Marina
580,581,784,1563 Francisco St,San Francisco,CA,94123.0,5150000.0,3256.0,4.0,3.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/79847344_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.802182,-122.430769,https://photos.zillowstatic.com/p_h/IS23zvakmdrfj11000000000.jpg,Marina
581,582,785,2652 Chestnut St,San Francisco,CA,94123.0,7395000.0,4870.0,5.0,7.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15080150_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.799643700000004,-122.44707369999999,https://photos.zillowstatic.com/p_h/ISqdfa1c40jeyk0000000000.jpg,Marina
582,583,786,3159 Baker St,San Francisco,CA,94123.0,4998000.0,4680.0,6.0,4.0,37.0,House For Sale,"http://www.zillow.com/homes/for_sale/53153233_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.800335600000004,-122.4465246,https://photos.zillowstatic.com/p_h/ISifzkpx3oy1jr1000000000.jpg,Marina
583,584,787,2008 Vallejo St,San Francisco,CA,94123.0,5100000.0,4500.0,5.0,3.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15072303_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.796069,-122.43053799999998,https://photos.zillowstatic.com/p_h/IS66o4yys9tsl00000000000.jpg,Pacific Heights
584,585,789,2830 Filbert St,San Francisco,CA,94123.0,4499000.0,2700.0,4.0,4.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15080295_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7968714,-122.44620159999998,https://photos.zillowstatic.com/p_h/ISuc9cn3qtpx550000000000.jpg,Marina
585,586,790,2765 Filbert St,San Francisco,CA,94123.0,4200000.0,3772.0,4.0,3.0,,House For Sale,"http://www.zillow.com/homes/for_sale/2096131667_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.796691100000004,-122.4449608,https://photos.zillowstatic.com/p_h/ISyzx95haphsdd0000000000.jpg,Marina
586,587,791,3537 Fillmore St,San Francisco,CA,94123.0,3200000.0,3946.0,4.0,5.0,65.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2096608234_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.802196,-122.43699299999999,https://photos.zillowstatic.com/p_h/ISmqqwyfvj8ks20000000000.jpg,Marina
587,588,792,1706 Vallejo St,San Francisco,CA,94123.0,2150000.0,2069.0,3.0,2.0,183.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/15072200_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.79659,-122.4256124,https://photos.zillowstatic.com/p_h/IS2z31vtu90hdd1000000000.jpg,Pacific Heights
588,589,793,3009 Baker St,San Francisco,CA,94123.0,2980000.0,2500.0,4.0,3.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2116671684_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.798805,-122.446277,https://photos.zillowstatic.com/p_h/ISm2c5tdyerkxd1000000000.jpg,Marina
589,590,795,1055 Gilman Ave,San Francisco,CA,94124.0,549000.0,950.0,2.0,1.0,2.0,House For Sale,"http://www.zillow.com/homes/for_sale/15154652_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.718621999999996,-122.38936299999999,https://photos.zillowstatic.com/p_h/IS2bhbdtltc2cm0000000000.jpg,Bayview
590,591,796,1475 Thomas Ave,San Francisco,CA,94124.0,675000.0,1075.0,2.0,1.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15154197_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.72894829999999,-122.38916540000001,https://photos.zillowstatic.com/p_h/ISecaw9mcalywd1000000000.jpg,Bayview
591,592,797,1411 Hudson Ave,San Francisco,CA,94124.0,1995000.0,2493.0,3.0,2.5,,House For Sale,"http://www.zillow.com/homes/for_sale/2131392604_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.737845,-122.384928,https://photos.zillowstatic.com/p_h/IS621w4vdwpval0000000000.jpg,Bayview
592,593,798,1641 La Salle Ave,San Francisco,CA,94124.0,1195000.0,3256.0,0.0,,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2144611361_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7368958,-122.3896494,https://photos.zillowstatic.com/p_h/IS6mw59kxf92p60000000000.jpg,Bayview
593,594,800,1266 Fitzgerald Ave,San Francisco,CA,94124.0,749000.0,1216.0,3.0,2.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15154332_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.721927,-122.39244599999999,https://photos.zillowstatic.com/p_h/ISekok8zxxc9ji0000000000.jpg,Bayview
594,595,801,11 Innes Ct # CGQ7N9,San Francisco,CA,94124.0,1135800.0,1399.0,3.0,3.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096475907_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.727832299999996,-122.3690967,https://photos.zillowstatic.com/p_h/ISyrj1bi33xhvv0000000000.jpg,Bayview
