,Unnamed: 0,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude,photo_url
394,527,3751 21st St,San Francisco,CA,94114.0,2950000.0,1120.0,3.0,1.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15146244_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.756045,-122.431241,https://photos.zillowstatic.com/p_h/ISu86zvlo8hqp80000000000.jpg
395,528,24 Hartford St,San Francisco,CA,94114.0,3595000.0,2944.0,3.0,5.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15144362_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.762098,-122.434289,https://photos.zillowstatic.com/p_h/ISuwgz5q7mv2sz0000000000.jpg
396,529,4233 22nd St,San Francisco,CA,94114.0,4495000.0,3858.0,5.0,4.0,44.0,House For Sale,"http://www.zillow.com/homes/for_sale/15130976_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7540017,-122.4395041,https://photos.zillowstatic.com/p_h/ISewl26n2a3yd50000000000.jpg
397,530,51 Ord St,San Francisco,CA,94114.0,3600000.0,4294.0,4.0,4.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15127621_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7629935,-122.4400105,https://photos.zillowstatic.com/p_h/ISqlxpvy83e0fa1000000000.jpg
398,531,285 Grand View Ave,San Francisco,CA,94114.0,4700000.0,7754.0,0.0,,40.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2097439524_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7534233,-122.4416719,https://photos.zillowstatic.com/p_h/ISahzf0zfbtzh40000000000.jpg
399,532,131 Collingwood St,San Francisco,CA,94114.0,1300000.0,1060.0,3.0,2.0,227.0,Make Me Move,"http://www.zillow.com/homes/for_sale/96025720_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7603193,-122.4357859,https://photos.zillowstatic.com/p_h/IS1mdgfphxu6l5v.jpg
400,533,9 Clarendon Ave,San Francisco,CA,94114.0,3090000.0,4210.0,3.0,3.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15129695_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7586961,-122.4494443,https://photos.zillowstatic.com/p_h/ISmupuvo8t2sgs0000000000.jpg
401,534,1059-1061 Church St,San Francisco,CA,94114.0,3400000.0,2600.0,6.0,2.0,332.0,Make Me Move,"http://www.zillow.com/homes/for_sale/2098470863_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7539825,-122.4274178,https://photos.zillowstatic.com/p_h/ISx3pdhfj3e5zl0000000000.jpg
402,536,2727 Sutter St,San Francisco,CA,94115.0,1250000.0,1520.0,3.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094618426_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7844681,-122.445322,https://photos.zillowstatic.com/p_h/ISi3ew6uz7hl0c1000000000.jpg
403,537,2470 Sacramento St,San Francisco,CA,94115.0,3295000.0,2404.0,3.0,4.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096407366_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7899116,-122.4335122,https://photos.zillowstatic.com/p_h/ISm2ggwi6l773u1000000000.jpg
404,538,1819 Lyon St Apt 3,San Francisco,CA,94115.0,699000.0,623.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15082471_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.788047,-122.445821,https://photos.zillowstatic.com/p_h/IS66okeatvtj301000000000.jpg
405,540,1880 Steiner St Apt 406,San Francisco,CA,94115.0,1349000.0,1434.0,2.0,3.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15075726_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7866028,-122.4347058,https://photos.zillowstatic.com/p_h/ISqtftguc8rybt0000000000.jpg
406,541,3191 California St,San Francisco,CA,94115.0,978000.0,,2.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15082729_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7870419,-122.4464502,https://photos.zillowstatic.com/p_h/IS6azjwt53n9hg1000000000.jpg
407,542,2999 California St # 603,San Francisco,CA,94115.0,639000.0,,0.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15082640_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7874582,-122.4435064,https://photos.zillowstatic.com/p_h/ISmm73glvpxd3n1000000000.jpg
408,543,2121 Webster St # 4L7L62,San Francisco,CA,94115.0,4495000.0,2112.0,3.0,3.0,,New Construction,"http://www.zillow.com/homes/for_sale/2095267884_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7902213,-122.4329717,https://photos.zillowstatic.com/p_h/ISyz1lk3oqwzi71000000000.jpg
409,544,2231-2233 Turk St,San Francisco,CA,94115.0,1019900.0,1728.0,3.0,2.0,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2094523902_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.778462,-122.445818,https://photos.zillowstatic.com/p_h/ISe4s0rda8sxh20000000000.jpg
410,545,2655 Bush St # J3OSP7,San Francisco,CA,94115.0,1299000.0,1115.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096288447_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7858334,-122.4406677,https://photos.zillowstatic.com/p_h/IS17m4orx1b1280000000000.jpg
411,546,2121 Webster St # 6PUK3T,San Francisco,CA,94115.0,4550000.0,2200.0,3.0,3.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096408548_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7902213,-122.4329717,https://photos.zillowstatic.com/p_h/IS2rpodynqic6w0000000000.jpg
412,547,905 Divisadero St,San Francisco,CA,94115.0,1550000.0,1764.0,3.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15085081_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.778018,-122.438729,https://photos.zillowstatic.com/p_h/IS23fondxnyhrv0000000000.jpg
413,548,2421 Buchanan St # B,San Francisco,CA,94115.0,1450000.0,1738.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15074001_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.792311,-122.431415,https://photos.zillowstatic.com/p_h/ISatsibk291vup0000000000.jpg
414,549,2121 Webster St # IP6T50,San Francisco,CA,94115.0,2895000.0,809.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2097127507_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7902213,-122.4329717,https://photos.zillowstatic.com/p_h/ISax7lqaiigp331000000000.jpg
415,550,1970 Sutter St Apt 103,San Francisco,CA,94115.0,1295000.0,1041.0,1.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/55632510_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7864,-122.4326329,https://photos.zillowstatic.com/p_h/ISq1icfm1si1f30000000000.jpg
416,551,2655 Bush St # 8SDZV4,San Francisco,CA,94115.0,929000.0,793.0,1.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096288446_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7858334,-122.4406677,https://photos.zillowstatic.com/p_h/IS17m4orx1b1280000000000.jpg
417,554,45 Galilee Ln Apt 1,San Francisco,CA,94115.0,435000.0,550.0,1.0,1.0,,Co-op For Sale,"http://www.zillow.com/homes/for_sale/64972152_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7837354,-122.4285446,https://photos.zillowstatic.com/p_h/ISusht2jttzovu1000000000.jpg
418,555,2411 Broadway St,San Francisco,CA,94115.0,9995000.0,5200.0,5.0,5.0,15.0,House For Sale,"http://www.zillow.com/homes/for_sale/15073344_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7937299,-122.437051,https://photos.zillowstatic.com/p_h/ISqhuodcf4miew0000000000.jpg
419,556,3046 Jackson St Apt D,San Francisco,CA,94115.0,1365000.0,1267.0,3.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2096676100_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7913508,-122.4454066,https://photos.zillowstatic.com/p_h/ISadcv5ykawft61000000000.jpg
420,558,1631 Pierce St,San Francisco,CA,94115.0,1695000.0,1590.0,3.0,3.0,10.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2141366305_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7853182,-122.4365211,https://photos.zillowstatic.com/p_h/IS6uqype9wunug1000000000.jpg
